,URLs
0,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-respect-of-mr-natarajan-thirugnanam-in-the-matter-of-titan-company-ltd-_64404.html
1,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-respect-of-mr-nagesh-kumar-gautam-in-the-matter-of-titan-company-ltd_64410.html
2,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-respect-of-mr-krishnamurthy-t-n-in-the-matter-of-titan-company-ltd_64402.html
3,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-respect-of-mr-vengadesan-mathiyalagan-in-the-matter-of-titan-company-ltd-_64400.html
4,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-respect-of-kenneth-pinto-gillian-pinto-and-adolf-pinto-share-and-stock-broker-in-the-matter-of-era-construction-india-ltd-_64391.html
5,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-aum-capital-market-private-limited_64393.html
6,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-man-industries-india-ltd-_64389.html
7,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-audit-report-of-acil-cotton-industries-ltd-universal-credit-and-securities-ltd-mindvision-capital-ltd-and-rfl-international-ltd_64387.html
8,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-audit-report-of-acil-cotton-industries-ltd-universal-credit-and-securities-ltd-mindvision-capital-ltd-and-rfl-international-ltd_64374.html
9,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-deutsche-mutual-fund-now-known-as-dhfl-pramerica-mutual-fund-1-entity_64295.html
10,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-deutsche-mutual-fund-now-known-as-dhfl-pramerica-mutual-fund-5-entities_64293.html
11,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-respect-of-ayushi-chauksey-investment-advisor-_64290.html
12,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-a-m-febcon-limited_64286.html
13,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-aadhaar-ventures-india-limited_64284.html
14,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-bank-of-baroda-in-respect-of-5-entities_64288.html
15,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-simply-grow-technologies-pvt-ltd-_64282.html
16,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-respect-of-late-shivdayal-gupta-in-the-matter-of-dealing-in-illiquid-stock-options-at-bse_64254.html
17,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-trinity-tradelink-limited_64212.html
18,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-capitalvia-global-research-limited-in-respect-of-capitalvia-global-research-limited-kiran-ravindra-kumar-choudhary-rohit-gadia-ansul-mansingka_64201.html
19,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-respect-of-nikunj-babulal-choradiya-in-the-matter-of-gdr-issue-of-maars-software-international-limited_64170.html
20,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-respect-of-tower-research-capital-markets-india-pvt-ltd-erstwhile-shaastra-securities-trading-pvt-ltd-in-the-matter-of-nse-co-location_64172.html
21,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-against-9-entities-in-the-matter-of-delta-leasing-and-finance-limited_64252.html
22,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-against-3-entities-in-the-matter-of-delta-leasing-and-finance-ltd-_64250.html
23,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-against-4-entities-in-the-matter-of-delta-leasing-and-finance-ltd-_64246.html
24,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-against-6-entities-in-the-matter-of-delta-leasing-and-finance-ltd-_64248.html
25,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-ps-it-infrastructure-and-services-ltd_64244.html
26,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-ifgl-refractories-ltd-_64174.html
27,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-24-carat-financial-services_64134.html
28,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-f6-finserve-pvt-ltd-_64132.html
29,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-shivamshree-businesses-limited_64136.html
30,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-respect-of-17-entities-in-the-matter-of-omnitech-infosolutions-ltd-_64123.html
31,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-respect-of-late-raj-kumar-rathi-in-the-matter-of-dealing-in-illiquid-stock-options-at-bse_64025.html
32,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-misutilisation-of-funds-raised-through-preferential-issue-by-quasar-india-limited_63808.html
33,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-izmo-limited_63771.html
34,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-respect-of-monika-arora-in-the-matter-of-niit-technologies-ltd-_63747.html
35,https://www.sebi.gov.in/enforcement/orders/oct-2022/adjudication-order-in-the-matter-of-agro-phos-india-limited_63637.html
36,https://www.sebi.gov.in/enforcement/orders/sep-2022/adjudication-order-in-the-matter-of-richirich-agro-limited-now-known-as-richirich-inventures-limited_63697.html
37,https://www.sebi.gov.in/enforcement/orders/sep-2022/adjudication-order-in-the-matter-of-gdr-issue-by-vikash-metal-and-power-limited_63660.html
38,https://www.sebi.gov.in/enforcement/orders/sep-2022/adjudication-order-in-the-matter-of-richirich-agro-limited-now-known-as-richirich-inventures-limited_63650.html
39,https://www.sebi.gov.in/enforcement/orders/sep-2022/adjudication-order-in-the-matter-of-first-financial-services-ltd-_63625.html
40,https://www.sebi.gov.in/enforcement/orders/sep-2022/adjudication-order-in-the-matter-of-urja-global-limited_63580.html
41,https://www.sebi.gov.in/enforcement/orders/sep-2022/adjudication-order-in-respect-of-gautam-dutta-and-2-others-in-the-matter-of-pvr-limited_63579.html
42,https://www.sebi.gov.in/enforcement/orders/sep-2022/adjudication-order-in-the-matter-non-compliance-of-aif-regulations_63577.html
43,https://www.sebi.gov.in/enforcement/orders/sep-2022/adjudication-order-in-respect-of-nnm-securities-private-limited_63575.html
44,https://www.sebi.gov.in/enforcement/orders/sep-2022/adjudication-order-in-the-matter-of-beeline-broking-limited-and-beeline-commodities-private-limited_63567.html
45,https://www.sebi.gov.in/enforcement/orders/sep-2022/adjudication-order-in-the-matter-of-kaynet-capital-limited_63571.html
