,URLs
0,https://www.sebi.gov.in/enforcement/orders/jun-2013/adjudication-order-in-the-matter-of-ms-sharewealth-securities-ltd_24966.html
1,https://www.sebi.gov.in/enforcement/orders/jun-2013/adjudication-order-against-m-s-finalysis-credit-and-services-ltd-in-the-matter-of-non-obtaining-of-scores-authentication_24982.html
2,https://www.sebi.gov.in/enforcement/orders/jun-2013/adjudication-order-against-m-s-scindia-steam-navigation-company-ltd-in-the-matter-of-non-obtaining-of-scores-authentication_24983.html
3,https://www.sebi.gov.in/enforcement/orders/jun-2013/adjudication-order-in-respect-of-cynosure-tie-up-private-limited-in-the-matter-of-dealings-of-sanjay-dangi-and-other-entities-in-various-scrips_24971.html
4,https://www.sebi.gov.in/enforcement/orders/jun-2013/adjudication-order-in-respect-of-delight-tie-up-private-limited-in-the-matter-of-dealings-of-sanjay-dangi-and-other-entities-in-various-scrips_24975.html
5,https://www.sebi.gov.in/enforcement/orders/jun-2013/adjudication-order-in-respect-of-rosewood-vanijya-private-limited-in-the-matter-of-dealings-of-sanjay-dangi-and-other-entities-in-various-scrips_24972.html
6,https://www.sebi.gov.in/enforcement/orders/jun-2013/adjudication-order-inspect-of-splendor-vanijya-pvt-ltd-in-the-matter-of-dealings-of-sanjay-dangi-and-other-entities-in-various-scrips_24979.html
7,https://www.sebi.gov.in/enforcement/orders/jun-2013/adjudication-order-against-gibs-computers-ltd-in-the-matter-of-trading-in-the-scrips-of-cals-refineries-ltd-confidence-petroleum-india-ltd-bang-overseas-ltd-shree-precoated-steels-ltd-and-tem-_24949.html
8,https://www.sebi.gov.in/enforcement/orders/jun-2013/adjudication-order-in-respect-of-uttam-kumar-kothari-in-the-matter-of-rasi-electrodes-ltd_24945.html
9,https://www.sebi.gov.in/enforcement/orders/jun-2013/adjudication-order-in-respect-of-citigroup-global-markets-mauritius-private-limited-in-the-matter-of-cairn-india-limited_24941.html
10,https://www.sebi.gov.in/enforcement/orders/jun-2013/adjudication-order-in-respect-of-m-s-triveni-management-consultancy-services-ltd_24872.html
11,https://www.sebi.gov.in/enforcement/orders/jun-2013/adjudication-order-against-radhekrishna-broking-mr-harshad-panchal-thaker-mr-hemang-shah-mr-abhishek-soni-mr-umesh-patel-ms-sonal-patel-and-mr-dhaval-soni-in-the-matter-of-sterling-greenw-_24873.html
12,https://www.sebi.gov.in/enforcement/orders/jun-2013/adjudication-order-against-sterling-greenwoods-limited-paksh-developers-private-limited-and-shri-anurag-dineshchandra-agrwal-in-the-matter-of-sterling-greenwoods-limited_24863.html
13,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-against-ramesh-p-kothari-in-the-matter-of-white-diamond-industries_24841.html
14,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-against-shri-jaynish-r-kothari-in-the-matter-of-white-diamond-industries-ltd_24842.html
15,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-against-shri-shah-nishit-babulal-shah-nishit-babulal-huf-ms-sonal-nishit-shah-shri-shah-tejas-babulal-shri-babulal-chhotalal-shah-and-ms-shah-sushilaben-babulal-in-the-matter-_24845.html
16,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-in-respect-of-m-s-imtihan-commercial-private-limited-in-the-matter-of-m-s-ramsarup-industries-limited-_24850.html
17,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-in-respect-of-m-s-n-r-mercantiles-private-limited-in-the-matter-of-m-s-ramsarup-industries-limited_24851.html
18,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-in-respect-of-m-s-ramsarup-industries-limited-and-its-directors-in-the-matter-of-m-s-ramsarup-industries-limited_24849.html
19,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-against-m-s-ramniklal-mohanlal-capital-markets-pvt-ltd-in-the-matter-of-synchronized-trading-by-connected-persons-_24838.html
20,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-against-shri-gurchand-singh_24834.html
21,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-against-shri-pawan-kumar-soni-in-the-matter-of-uti-sunder-etf_24835.html
22,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-against-women-networks-limited-currently-known-as-pagaria-energy-limited-_24833.html
23,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-in-respect-of-pavaki-vanijya-pvt-ltd_24839.html
24,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-in-respect-of-1-cityon-infrastructure-pvt-ltd-2-nirbharant-management-consultants-pvt-ltd-3-bansal-supplier-pvt-ltd-4-mr-ashesh-agarwal-5-mr-sanjeev-agarwal6-big-brokers-house-_24822.html
25,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-against-indo-green-projects-limited_24798.html
26,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-against-farry-industries-limited_24789.html
27,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-in-respect-of-ford-brothers-capital-services-ltd-in-the-matter-of-nandan-exim-ltd-_24765.html
28,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-against-ankush-finstock-limited_24739.html
29,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-in-respect-of-k-annamalai-in-the-matter-of-djs-shares-and-stocks-limited_24729.html
30,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-in-respect-of-prakash-devidas-securities-limited-in-the-matter-of-djs-shares-and-stocks-limited-_24731.html
31,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-in-respect-of-prakash-devidas-shah-in-the-matter-of-djs-shares-and-stocks-limited_24732.html
32,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-in-respect-of-sohesh-prakash-shah-in-the-matter-of-djs-shares-and-stocks-limited-_24730.html
33,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-in-respect-of-m-s-bhagawati-oxygen-limited_24724.html
34,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-against-alacrity-securities-ltd-in-the-matter-of-odyssey-corporation-ltd_24701.html
35,https://www.sebi.gov.in/enforcement/orders/may-2013/adjudication-order-in-respect-of-reliance-petroinvestments-ltd-in-the-matter-of-indian-petrochemicals-corp-ltd_24699.html
36,https://www.sebi.gov.in/enforcement/orders/apr-2013/adjudication-order-against-m-s-rajendra-jayantilal-shah-in-the-matter-of-adani-exports-ltd_24698.html
37,https://www.sebi.gov.in/enforcement/orders/apr-2013/adjudication-order-against-m-s-rajesh-n-jhaveri-in-the-matter-of-adani-exports-ltd_24697.html
38,https://www.sebi.gov.in/enforcement/orders/apr-2013/adjudication-order-dated-april-29-2013-in-respect-of-bhargav-marepally-in-the-matter-of-gss-america-infotech-limited_24707.html
39,https://www.sebi.gov.in/enforcement/orders/apr-2013/adjudication-order-dated-april-29-2013-in-respect-of-ramesh-yerramsetti-in-the-matter-of-gss-america-infotech-limited_24706.html
40,https://www.sebi.gov.in/enforcement/orders/apr-2013/adjudication-order-against-ms-anubha-gupta-in-the-matter-of-palsoft-infosystems-ltd_24676.html
